CustomerID,NumberOrders,TotalSpent,TotalItems,DaysAsCustomer,DaysNoPurchase
DL1005,7,1832.0,7.0,276.0,92.0
DL1006,5,200.0,5.0,184.0,184.0
DL1007,21,4272.0,21.0,335.0,154.0
DL1009,4,932.0,4.0,215.0,62.0
DL1012,1,184.0,1.0,123.0,123.0
DL1013,2,460.0,2.0,62.0,31.0
DL1016,1,343.0,1.0,184.0,184.0
DL1017,3,957.0,3.0,123.0,31.0
DL1018,2,108.0,2.0,184.0,184.0
DL1020,4,1161.0,4.0,276.0,184.0
DL1021,2,542.0,2.0,335.0,31.0
DL5002,1,358.0,1.0,184.0,184.0
F5002,2,419.0,2.0,245.0,245.0
FF1002,3,2294.0,3.0,154.0,123.0
FF1003,1,93.0,1.0,215.0,215.0
FF1006,6,2673.0,6.0,304.0,62.0
FF1007,1,444.0,1.0,276.0,276.0
FF1011,2,1690.0,2.0,31.0,31.0
FF1015,1,596.0,1.0,31.0,31.0
FF1016,1,232.0,1.0,62.0,62.0
FF1017,1,70.0,1.0,31.0,31.0
FF1018,4,894.0,4.0,276.0,92.0
FF1019,10,2617.0,10.0,304.0,31.0
FF1021,5,268.0,5.0,276.0,154.0
FF1023,2,424.0,2.0,215.0,215.0
FF1024,1,131.0,1.0,154.0,154.0
FF1025,3,1080.0,3.0,335.0,184.0
FF1026,12,2194.0,12.0,276.0,31.0
FF1027,2,422.0,2.0,276.0,245.0
FF1028,1,50.0,1.0,184.0,184.0
FF1030,2,771.0,2.0,276.0,215.0
FF1033,1,38.0,1.0,62.0,62.0
FF5003,1,29.0,1.0,123.0,123.0
H1003,3,309.0,3.0,245.0,184.0
H1007,4,3726.0,4.0,245.0,184.0
H1010,1,56.0,1.0,154.0,154.0
H1011,1,400.0,1.0,215.0,215.0
H1012,1,40.0,1.0,184.0,184.0
H1014,2,100.0,2.0,215.0,215.0
H1016,2,326.0,2.0,184.0,31.0
H1018,2,333.0,2.0,276.0,184.0
H1020,1,226.0,1.0,276.0,276.0
H1022,1,254.0,1.0,276.0,276.0
H1025,3,661.0,3.0,304.0,31.0
H1029,1,146.0,1.0,184.0,184.0
H1030,2,148.0,2.0,215.0,184.0
H1035,3,504.0,3.0,276.0,123.0
H1038,1,100.0,1.0,215.0,215.0
H1042,5,687.0,5.0,245.0,154.0
H1043,20,4032.0,20.0,335.0,62.0
H1045,3,836.0,3.0,335.0,335.0
H1046,1,114.0,1.0,215.0,215.0
H1048,2,760.0,2.0,245.0,31.0
H1051,1,371.0,1.0,215.0,215.0
H1059,1,218.0,1.0,123.0,123.0
H1061,1,243.0,1.0,215.0,215.0
